"food_code","name","category","base_amount","base_unit","kcal","carbs","protein","fat","sugar","dietary_fiber","vit_a","vit_c","vit_d","calcium","iron","sodium","image"
"D402-145000000-0001","토스트(식빵)","빵 및 과자류","200","G","168","31.1","5.0","2.66","5.22","2.0","0.0","1.14","0.0","16.0","0.34","280.0","food-category/bread.jpg"
"D402-146000000-0001","트위스터 샌드위치","빵 및 과자류","200","G","112","6.6","7.2","5.92","1.36","0.8","30.0","1.34","0.04","14.0","0.44","248.0","food-category/bread.jpg"
"D402-147000000-0001","파운드케이크","빵 및 과자류","200","G","452","53.34","7.0","23.58","18.66","1.2","156.0","0.0","0.0","70.0","0.92","238.0","food-category/bread.jpg"
"D402-149000000-0001","햄샌드위치","빵 및 과자류","200","G","370","37.38","10.6","20.0","7.26","3.6","80.0","7.56","0.0","38.0","1.2","642.0","food-category/bread.jpg"
"D403-141000000-0001","간자장","면 및 만두류","200","G","310","51.96","10.78","5.62","5.66","3.6","6.0","7.44","0.1","42.0","0.82","690.0","food-category/noodle.jpg"
"D403-141500000-0001","간자장_해물","면 및 만두류","200","G","302","45.38","13.8","6.36","4.9","3.2","8.0","7.02","0.72","54.0","1.62","760.0","food-category/noodle.jpg"
"D403-142000000-0001","국수","면 및 만두류","200","G","112","17.74","5.0","1.92","0.58","0.6","10.0","0.32","0.06","48.0","0.58","548.0","food-category/noodle.jpg"
"D403-142350000-0001","국수_열무김치","면 및 만두류","200","G","118","19.58","4.4","1.98","0.58","1.0","22.0","0.58","0.06","28.0","0.56","396.0","food-category/noodle.jpg"
"D403-144180000-0001","냉면_물냉면","면 및 만두류","200","G","192","36.58","7.28","1.36","0.84","1.6","6.0","1.34","0.16","20.0","1.28","394.0","food-category/noodle.jpg"
"D403-145040000-0001","떡국_굴","면 및 만두류","200","G","180","33.38","8.0","2.66","0.46","3.2","20.0","0.36","0.14","160.0","5.58","594.0","food-category/noodle.jpg"
"D403-145090000-0001","떡국_달걀","면 및 만두류","200","G","170","35.8","4.2","1.24","0.3","0.6","18.0","0.32","0.1","16.0","0.44","356.0","food-category/noodle.jpg"
"D403-145321100-0001","떡국_소고기_달걀","면 및 만두류","200","G","174","31.74","6.6","2.32","0.36","0.8","20.0","0.5","0.1","20.0","1.06","434.0","food-category/noodle.jpg"
"D403-145540000-0001","떡국_모듬","면 및 만두류","200","G","172","34.28","5.4","1.74","0.34","1.0","18.0","0.38","0.1","34.0","1.22","408.0","food-category/noodle.jpg"
"D403-146010000-0001","떡만두국_고기만두","면 및 만두류","200","G","180","30.24","6.8","3.48","0.48","2.4","22.0","0.48","0.1","34.0","1.66","338.0","food-category/noodle.jpg"
"D403-146060000-0001","떡만두국_김치만두","면 및 만두류","200","G","174","29.12","6.2","3.7","0.66","2.6","22.0","0.7","0.08","38.0","1.2","464.0","food-category/noodle.jpg"
"D403-148000000-0001","라면","면 및 만두류","200","G","158","24.38","3.0","5.04","0.02","1.4","0.0","0.26","0.0","80.0","0.16","116.0","food-category/noodle.jpg"
"D403-148050000-0001","라면_김치","면 및 만두류","200","G","170","24.82","4.2","5.66","0.6","2.0","18.0","1.02","0.08","90.0","0.42","218.0","food-category/noodle.jpg"
"D403-148090000-0001","라면_달걀","면 및 만두류","200","G","190","26.32","5.2","6.64","0.16","1.6","22.0","0.4","0.16","92.0","0.48","144.0","food-category/noodle.jpg"
"D401-075480000-0001","오징어 덮밥_채소","밥류","200","G","182","28.98","10.2","2.66","3.52","2.2","40.0","3.34","2.32","20.0","0.36","274.0","food-category/rice.jpg"
"D401-076000000-0001","옥수수밥","밥류","200","G","226","48.78","4.2","0.68","0.5","1.2","0.0","0.28","0.0","4.0","0.18","8.0","food-category/rice.jpg"
"D401-077000000-0001","완두콩밥","밥류","200","G","228","48.94","4.4","0.66","0.28","1.4","2.0","0.52","0.0","6.0","0.24","2.0","food-category/rice.jpg"
"D401-078000000-0001","유부 초밥","밥류","200","G","398","54.08","11.6","13.84","4.4","1.8","0.0","0.04","0.0","178.0","1.74","268.0","food-category/rice.jpg"
