group_id,group_name
REST000036,16라인 Cafeteria
REST000037,17라인 Cafeteria
REST000993,3M나주
REST000862,3M화성
REST000030,6라인 Cafeteria
REST000572,ASE KOREA
REST001268,BAT코리아
REST000031,CDI Cafeteria(운영종료)
REST000720,DS 걷기 챌린지
REST007254,DS 에듀센터 동탄 Ⅱ
REST000039,DSR
REST000054,GEC
REST000880,GE초음파
REST000268,GST
REST004260,HP판교
REST000100,IFC서울
REST007195,JW사옥
REST000879,JW생명과학
REST000212,KGC인삼공사부여(운영종료)
REST000102,KGC인삼공사원주공장(운영종료)
REST000857,MKE전자
REST000032,MR1 Cafeteria
REST004139,NC다이노스창원직원식당(운영종료)
REST001001,NH금융
REST000014,R3 쿠디(3F)
REST000013,R3 하모니(B1F)
REST000003,R4 레인보우(B1F)
REST000004,R4 밀키웨이(6F)
REST000005,R4 오아시스(B1F)
REST000006,R5 5F
REST000007,R5 B1F
REST000008,R5 B2F
REST000103,SDI구미(A)
REST000104,SDI기흥
REST000105,SDI울산
REST000106,SDI천안
REST000107,SDI천안기숙사(운영종료)
REST000108,SDI청주(운영종료)
REST007314,SDR Cafeteria
REST000109,SDS구미
REST000057,SDS상암(운영종료)
REST000055,SDS잠실
REST004964,SDS판교피키피커스
REST000112,SFA동탄(운영종료)
REST000449,SFA반도체
REST000795,SFA반도체범핑
REST000113,SFA아산(운영종료)
REST006768,SK 실트론2공장
REST006769,SK 실트론3공장
REST007594,SK-C타워 사내식당
REST004978,SK머티리얼즈영주(운영종료)
REST000144,SK오션플랜트
REST000069,SMC별관직원(운영종료)
REST000070,SMC본관직원
REST000071,SMC암병원직원(운영종료)
REST000023,SR1 Cafeteria
REST000025,SR3 Cafeteria
REST000026,SR5 Cafeteria(운영종료)
REST000027,SR6 Cafeteria(운영종료)
REST000190,TE 경산 1공장(운영종료)
REST004125,TE 경산 3공장(운영종료)
REST007542,The UniverSE Cafeteria
REST004306,V1L Cafeteria
REST000114,강북SMC직원
REST001042,건화창원
REST004808,경보제약
REST001237,경북대병원직원
REST000725,경상국립대병원직원(운영종료)
REST001216,경신경주공장
REST006735,계명대대구동산병원직원
REST004176,계명대동산병원직원(운영종료)
REST000119,고려아연울산(운영종료)
REST007052,고려아연울산1식당
REST001293,고영테크놀러지(운영종료)
REST007669,공군교육사령부군수1학교
REST007672,공군교육사령부군수2학교
REST007670,공군교육사령부정통학교
REST007668,공군교육사령부항공과학고
REST007671,공군교육사령부행정학교
REST007340,광동제약
REST006755,광주글로벌모터스
REST000120,군인공제회관
REST000519,금호석유화학울산고무
REST007256,기술동 Take Out
REST001357,김포우리병원직원
REST004216,넥슨꽃밥밥집(운영종료)
REST004213,넥슨다이닝엔(운영종료)
REST004908,노벨리스코리아영주(운영종료)
REST000763,니프코코리아아산
REST000750,단국대천안병원직원(운영종료)
REST000532,대덕전자DP센터(운영종료)
REST001605,대덕전자MLB(운영종료)
REST000535,대덕전자PKG(운영종료)
REST000528,대덕전자기숙사(운영종료)
REST004312,대덕전자모바일(운영종료)
REST004308,대전충남양돈농협(운영종료)
REST000125,대한항공테크센터(운영종료)
REST000654,더존IT강촌(운영종료)
REST002902,덴소코리아마산
REST006941,도레이마곡본사(운영종료)
REST000878,도레이첨단소재구미1공장(운영종료)
REST000483,도레이첨단소재구미2공장(운영종료)
REST001244,도레이첨단소재구미3공장(운영종료)
REST001243,도레이첨단소재구미4공장(운영종료)
REST001161,도레이첨단소재구미5공장(운영종료)
REST006897,도레이첨단소재군산(운영종료)
REST005014,동아에스티달성
REST005013,동아에스티천안
REST000303,동아일렉콤
REST000067,동우화인켐 평택본사(운영종료)
REST007329,디알비동일부산
REST007330,디알비동일양산
REST007346,디엔솔루션즈남산
REST004211,래미안블레스티지
REST004182,로버트보쉬코리아대전(운영종료)
REST004185,로버트보쉬코리아용인(운영종료)
REST000041,로즈홀(온양)
REST000129,로지텍수원(운영종료)
REST000130,로지텍이천(운영종료)
REST001327,로지텍평택(운영종료)
REST000131,루멘스(운영종료)
REST000132,르노삼성부산동백(운영종료)
REST000323,르노삼성부산부품센터(운영종료)
REST000111,린스퀘어(운영종료)
REST000133,멀티캠퍼스
REST007327,메가존산학연센터
REST000058,메디슨판교(운영종료)
REST007253,메디슨홍천
REST000771,물산안성베네스트직원
REST000136,물산안양컨트리클럽지원센터
